x_position,y_position
0,0
0,0
1035,1031
1033,1024
1021,1028
977,1020
956,1020
929,1016
925,1014
934,1010
947,1014
946,1021
966,1020
980,1024
1027,1026
1012,1017
1050,1031
1042,1028
1052,1013
1041,1017
1070,1008
1018,1017
1004,995
972,998
932,983
905,975
888,981
871,988
850,986
837,982
822,982
795,983
774,983
759,978
733,977
719,975
712,972
705,964
694,968
690,964
694,962
692,953
693,957
687,951
674,957
662,954
640,952
625,950
604,941
596,927
576,922
556,917
543,920
527,909
512,909
483,908
470,896
471,908
462,910
439,885
429,897
413,882
435,881
450,868
420,862
443,859
467,870
498,847
500,824
515,815
521,798
547,781
526,780
489,765
452,762
408,750
368,744
333,741
304,732
276,729
250,724
227,705
221,700
209,691
204,681
205,664
217,661
239,656
271,651
324,656
380,654
429,655
487,675
545,686
586,691
604,683
618,690
642,685
663,683
693,667
728,663
752,667
764,655
778,653
796,650
805,651
813,644
822,650
842,648
866,645
881,646
905,639
925,641
935,636
951,642
967,639
977,641
994,633
1023,640
1025,637
1040,630
1084,639
1100,635
1126,635
1174,632
1189,637
1187,638
1186,634
1201,632
1136,634
1102,632
1081,649
1057,629
1025,604
977,599
941,564
920,537
902,514
885,499
871,468
861,438
849,410
829,384
829,362
825,362
827,342
818,324
820,306
810,287
813,270
840,246
815,233
799,221
817,205
863,204
854,202
872,185
873,194
866,188
889,182
892,196
881,212
882,220
881,263
877,313
902,364
929,399
944,417
969,450
970,483
967,518
975,547
981,570
963,592
953,615
956,617
962,645
943,652
947,664
955,697
970,705
979,715
958,728
961,724
968,731
956,747
948,737
936,754
924,767
945,791
926,800
893,820
871,829
882,809
822,820
792,812
769,805
729,814
681,794
645,818
630,825
598,826
598,837
558,846
527,840
497,838
497,834
544,793
552,768
550,761
583,755
635,720
679,721
696,709
740,688
770,678
784,660
791,624
801,601
801,580
810,558
832,544
857,530
870,517
885,500
898,488
910,473
910,450
926,422
943,406
956,384
954,365
967,358
968,333
1012,304
1013,287
1012,281
1035,260
1089,228
1113,187
1121,179
1134,172
1160,178
1165,183
1164,187
1177,197
1196,198
1209,192
1226,196
1247,187
1245,180
1264,201
1265,214
1271,220
1275,237
1288,240
1278,251
1272,268
1284,279
1273,283
1267,293
1255,305
1244,310
1231,322
1223,328
1210,341
1201,360
1205,367
1200,394
1206,401
1201,400
1201,411
1199,416
1197,422
1180,433
1168,449
1150,473
1143,490
1145,499
1131,510
1136,529
1131,530
1130,531
1127,545
1115,542
1105,565
1093,569
1080,577
1070,594
